sced_timestamp,market,location,location_type,lmp
2023-01-01 00:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,34.6
2023-01-01 01:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.48
2023-01-01 02:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.29
2023-01-01 03:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,5.18
2023-01-01 04:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.84
2023-01-01 05:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.34
2023-01-01 06:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.65
2023-01-01 07:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.53
2023-01-01 08:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.05
2023-01-01 09:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.09
2023-01-01 10:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0
2023-01-01 11:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.65
2023-01-01 12:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.34
2023-01-01 13:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.49
2023-01-01 14:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.04
2023-01-01 15:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.68
2023-01-01 16:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.83
2023-01-01 17:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.9
2023-01-01 18:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.37
2023-01-01 19:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.33
2023-01-01 20:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,42.6
2023-01-01 21:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,27.21
2023-01-01 22:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.87
2023-01-01 23:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,36.18
2023-01-02 00:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.82
2023-01-02 01:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.9
2023-01-02 02:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.56
2023-01-02 03:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.29
2023-01-02 04:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.61
2023-01-02 05:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-02 06:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.4
2023-01-02 07:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-4.99
2023-01-02 08:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-26.01
2023-01-02 09:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-30.93
2023-01-02 10:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-30.39
2023-01-02 11:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-10.01
2023-01-02 12:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.32
2023-01-02 13:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.74
2023-01-02 14:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.36
2023-01-02 15:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.16
2023-01-02 16:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.59
2023-01-02 17:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.15
2023-01-02 18:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.93
2023-01-02 19:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,8.4
2023-01-02 20:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.02
2023-01-02 21:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,7.79
2023-01-02 22:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,5.6
2023-01-02 23:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,8.69
2023-01-03 00:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,47.69
2023-01-03 01:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,36.14
2023-01-03 02:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,36.28
2023-01-03 03:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.91
2023-01-03 04:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.55
2023-01-03 05:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.46
2023-01-03 06:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.76
2023-01-03 07:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.06
2023-01-03 08:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.33
2023-01-03 09:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-03 10:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0
2023-01-03 11:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.7
2023-01-03 12:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.37
2023-01-03 13:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.01
2023-01-03 14:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.73
2023-01-03 15:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,76.25
2023-01-03 16:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.14
2023-01-03 17:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.34
2023-01-03 18:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,47.34
2023-01-03 19:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,32.3
2023-01-03 20:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.8
2023-01-03 21:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,24.81
2023-01-03 22:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.08
2023-01-03 23:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,31.27
2023-01-04 00:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,36.18
2023-01-04 01:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.91
2023-01-04 02:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.68
2023-01-04 03:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.44
2023-01-04 04:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.11
2023-01-04 05:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,17.19
2023-01-04 06:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.68
2023-01-04 07:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.76
2023-01-04 08:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.65
2023-01-04 09:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,17.37
2023-01-04 10:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,17.64
2023-01-04 11:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.5
2023-01-04 12:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,32.64
2023-01-04 13:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,40.8
2023-01-04 14:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.65
2023-01-04 15:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.45
2023-01-04 16:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,17.51
2023-01-04 17:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.77
2023-01-04 18:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.59
2023-01-04 19:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.2
2023-01-04 20:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.58
2023-01-04 21:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,1.05
2023-01-04 22:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,3.93
2023-01-04 23:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.1
2023-01-05 00:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,41.94
2023-01-05 01:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,27.93
2023-01-05 02:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.7
2023-01-05 03:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.79
2023-01-05 04:00:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.8
2023-01-05 05:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.61
2023-01-05 06:00:37+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.58
2023-01-05 07:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,25.02
2023-01-05 08:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.72
2023-01-05 09:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.26
2023-01-05 10:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,27.25
2023-01-05 11:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.97
2023-01-05 12:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.8
2023-01-05 13:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,56.34
2023-01-05 14:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,44.52
2023-01-05 15:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,25.72
2023-01-05 16:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,32.41
2023-01-05 17:00:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.61
2023-01-05 18:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,25.66
2023-01-05 19:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.53
2023-01-05 20:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,24.24
2023-01-05 21:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.13
2023-01-05 22:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.01
2023-01-05 23:00:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,39.09
2023-01-06 00:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,45.52
2023-01-06 01:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.91
2023-01-06 02:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.65
